id	storeNmae	phone	address	map-href
11	信義松德	02-27597911	台北市信義區松德路211號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%9D%BE%E5%BE%B7%E8%B7%AF211%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
12	信義活力吳興	02-27586337	台北市信義區吳興街3號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E5%90%B3%E8%88%88%E8%A1%973%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
13	北市文山	02-29392303	台北市文山區興隆路4段87號1F	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E8%88%88%E9%9A%86%E8%B7%AF4%E6%AE%B587%E8%99%9F1F&hl=zh-TW&ie=UTF8&iwloc=A
14	文山活力景興	02-29333925	台北市文山區景興路111號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E6%99%AF%E8%88%88%E8%B7%AF111%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
15	文山活力忠順	02-86612690	台北市文山區忠順街2段19號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E5%BF%A0%E9%A0%86%E8%A1%972%E6%AE%B519%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
16	東湖康樂	02-26321683	台北市內湖區康樂街136巷15弄2號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%85%A7%E6%B9%96%E5%8D%80%E5%BA%B7%E6%A8%82%E8%A1%97136%E5%B7%B715%E5%BC%842%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
17	北市活力汀州	02-23395788	台北市中正區汀州路1段238號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E6%AD%A3%E5%8D%80%E6%B1%80%E5%B7%9E%E8%B7%AF1%E6%AE%B5238%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
18	北市活力長安	02-25678931	台北市中山區長安東路1段28-1號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E9%95%B7%E5%AE%89%E6%9D%B1%E8%B7%AF1%E6%AE%B528-1%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
19	北市活力安東	02-27775100	台北市中山區安東街2-1號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E5%AE%89%E6%9D%B1%E8%A1%972-1%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
20	中山國賓	0975-808221	台北市中山區中山北路2段77巷8-5號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E4%B8%AD%E5%B1%B1%E5%8C%97%E8%B7%AF2%E6%AE%B577%E5%B7%B78-5%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
21	大安坡心	02-27083279	台北市大安區通化街39巷47號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E9%80%9A%E5%8C%96%E8%A1%9739%E5%B7%B747%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
22	北市活力萬全	02-25528008	台北市大同區萬全街26號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E8%90%AC%E5%85%A8%E8%A1%9726%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
23	圓山捷運概念店	02-25975700	台北市大同區酒泉街22號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E9%85%92%E6%B3%89%E8%A1%9722%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
24	北市活力西寧	02-25557678	台北市大同區西寧北路52-2號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%90%8C%E5%8D%80%E8%A5%BF%E5%AF%A7%E5%8C%97%E8%B7%AF52-2%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
25	北市信義概念店	02-87864897	台北市莊敬路325巷52號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E8%8E%8A%E6%95%AC%E8%B7%AF325%E5%B7%B752%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
26	北市羅斯福概念店	02-29306052	台北市文山區羅斯福路5段259號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E6%96%87%E5%B1%B1%E5%8D%80%E7%BE%85%E6%96%AF%E7%A6%8F%E8%B7%AF5%E6%AE%B5259%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
27	北市伊通概念店	02-25157368	台北市中山區伊通街66巷5號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%B1%B1%E5%8D%80%E4%BC%8A%E9%80%9A%E8%A1%9766%E5%B7%B75%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
28	大安忠孝概念店	02-27716007	台北市大安區忠孝東路3段217巷8弄2號	http://maps.google.com/maps?q=%E5%8F%B0%E5%8C%97%E5%B8%82%E5%A4%A7%E5%AE%89%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF3%E6%AE%B5217%E5%B7%B78%E5%BC%842%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
29	基隆活力深溪	02-24660262	基隆市信義區深溪路89號	http://maps.google.com/maps?q=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E6%B7%B1%E6%BA%AA%E8%B7%AF89%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
30	基隆信二	02-24280522	基隆市信義區信二路26-2號	http://maps.google.com/maps?q=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%BF%A1%E7%BE%A9%E5%8D%80%E4%BF%A1%E4%BA%8C%E8%B7%AF26-2%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
31	七堵活力車站	0903178535	基隆市七堵區東新街2號	http://maps.google.com/maps?q=%E5%9F%BA%E9%9A%86%E5%B8%82%E4%B8%83%E5%A0%B5%E5%8D%80%E6%9D%B1%E6%96%B0%E8%A1%972%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
32	蘆洲復興概念店	02-22855208	新北市蘆洲區復興路146號	https://www.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E8%98%86%E6%B4%B2%E5%8D%80%E5%BE%A9%E8%88%88%E8%B7%AF146%E8%99%9F&rlz=1C1GCEU_zh-TWTW997TW997&gs_lcrp=EgZjaHJvbWUyCQgAEEUYORiABNIBBzYyN2owajeoAgCwAgA&um=1&ie=UTF-8
33	新店三民概念店	02-29110000	新北市新店區三民路40號	https://maps.app.goo.gl/iF5U7sPv9VT9RswB8
34	五股五福概念店	02-22927557	新北市五股區五福路37號	"https://www.google.com/maps/place/248%E6%96%B0%E5%8C%97%E5%B8%82%E4%BA%94%E8%82%A1%E5%8D%80%E4%BA%94%E7%A6%8F%E8%B7%AF37%E8%99%9F/@25.089374,121.4309007,17z/data=!3m1!4b1!4m6!3m5!1s0x3442a60ffac8c517:0x477cfee2da56c4d1!8m2!3d25.089374!4d121.433481!16s%2Fg"
35	土城員林概念店	02-22622600	新北市土城區員林街30號	https://goo.gl/maps/1eYorkTguHtXTufe7
36	鶯歌鳳五概念店	02-26785388	新北市鶯歌區新北市鶯歌區鳳五路6號	"https://www.google.com/maps/place/239%E6%96%B0%E5%8C%97%E5%B8%82%E9%B6%AF%E6%AD%8C%E5%8D%80%E9%B3%B3%E4%BA%94%E8%B7%AF6%E8%99%9F/@24.9711585,121.3290999,17z/data=!3m1!4b1!4m6!3m5!1s0x34681ebf6477a26d:0xfa108a7adbc96fd1!8m2!3d24.9711537!4d121.3316748!16s%2"
37	中和中和概念店	02-29275585	新北市中和區中和路324巷3弄9號	https://www.google.com/maps?q=%E6%97%A9%E5%AE%89%E7%BE%8E%E8%8A%9D%E5%9F%8E+%E4%B8%AD%E5%92%8C%E4%B8%AD%E5%92%8C%E6%A6%82%E5%BF%B5%E5%BA%97&rlz=1C1GCEU_zh-TWTW997TW997&um=1&ie=UTF-8&sa=X&ved=2ahUKEwin-Nan36f6AhXVy4sBHQ0pBWUQ_AUoAXoECAMQAw
38	汐止忠孝概念店	02-86423456	新北市汐止區忠孝東路315號	"https://www.google.com/maps/place/221%E6%96%B0%E5%8C%97%E5%B8%82%E6%B1%90%E6%AD%A2%E5%8D%80%E5%BF%A0%E5%AD%9D%E6%9D%B1%E8%B7%AF315%E8%99%9F/@25.0693543,121.6624939,17z/data=!3m1!4b1!4m5!3m4!1s0x345d530da58db703:0xedfda1bde3452243!8m2!3d25.0693543!4d121.66"
39	土城延吉概念店	02-82621598	新北市土城區延吉街130號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E5%9C%9F%E5%9F%8E%E5%8D%80%E5%BB%B6%E5%90%89%E8%A1%97130%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
40	中和圓通概念店	02-22420026	新北市中和區圓通路259號	https://www.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%92%8C%E5%8D%80%E5%9C%93%E9%80%9A%E8%B7%AF259%E8%99%9F&rlz=1C1GCEU_zh-TWTW997TW997&um=1&ie=UTF-8&sa=X&ved=2ahUKEwiW-N7D4sT3AhUUDJQKHdVbDYYQ_AUoAXoECAEQAw
41	中和景新概念店	02-86680085	新北市中和區景新街242號	"https://www.google.com/maps/place/235%E6%96%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%92%8C%E5%8D%80%E6%99%AF%E6%96%B0%E8%A1%97242%E8%99%9F/@24.9936534,121.5069574,17z/data=!3m1!4b1!4m13!1m7!3m6!1s0x346802742fe3e309:0x2a59b6be56aa2a84!2zMjM15paw5YyX5biC5Lit5ZKM5Y2"
42	林口勵馨概念店	02-86019608	新北市林口區文化一路1段207號1F	"https://www.google.com/maps/place/333%E6%A1%83%E5%9C%92%E5%B8%82%E9%BE%9C%E5%B1%B1%E5%8D%80%E6%96%87%E5%8C%96%E4%B8%80%E8%B7%AF8-1%E8%99%9F1f/@25.0596864,121.369061,17z/data=!3m1!4b1!4m5!3m4!1s0x3442a73b6016a837:0x8b2e11bbf8d80e88!8m2!3d25.0596864!4d121.3"
43	新莊新豐概念店	02-22050006	新北市新莊區新豐街23號	https://goo.gl/maps/fegDSQniau4xmWDZ9
44	新莊中華概念店	02-29905572	新北市新莊區中華路1段49號	https://g.page/r/CciZv4kSbyzoEBA
45	樹林車站概念店	02-26868660	新北市樹林區區鎮前街112號	"https://www.google.com/maps/place/238%E6%96%B0%E5%8C%97%E5%B8%82%E6%A8%B9%E6%9E%97%E5%8D%80%E9%8E%AE%E5%89%8D%E8%A1%97112%E8%99%9F/@24.9914074,121.4224175,17z/data=!3m1!4b1!4m5!3m4!1s0x34681d3e699229b9:0x9d30fc83ab33cf42!8m2!3d24.9914074!4d121.4246008"
46	中和景德概念店	02-86681321	新北市中和區景德街3號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E4%B8%AD%E5%92%8C%E5%8D%80%E6%99%AF%E5%BE%B7%E8%A1%973%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
47	新店光明概念店	02-89147385	新北市新店區光明街62號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E5%85%89%E6%98%8E%E8%A1%9762%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
48	中和四維概念店	02-86689757	新北市中和區四維街28號	https://goo.gl/maps/KKhDfEX5s5J18jFr5
49	三峽大觀概念店	02-86725510	新北市三峽區大觀路84號	https://goo.gl/maps/6FDBQa7wfbd77HfLA
50	新莊化成概念店	02-29940282	新北市新莊區化成路546號	https://goo.gl/maps/F4cBXUwJSdqE6S7W9
51	鶯歌活力鳳鳴	02-26773233	新北市鶯歌區鶯桃路451號	"https://www.google.com/maps/place/%E6%97%A9%E5%AE%89%E7%BE%8E%E8%8A%9D%E5%9F%8E%E9%B6%AF%E6%AD%8C%E6%B4%BB%E5%8A%9B%E9%B3%B3%E9%B3%B4/@24.9655445,121.3295993,17z/data=!4m15!1m8!3m7!1s0x34681eb86c68139b:0x4be8b394f87a86cc!2zMjM55paw5YyX5biC6bav5q2M5Y2A6bav"
52	鶯歌育德	02-86780920	新北市鶯歌區育德街26號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E9%B6%AF%E6%AD%8C%E5%8D%80%E8%82%B2%E5%BE%B7%E8%A1%9726%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
53	鶯歌二橋	02-26795203	新北市鶯歌區中正三路191號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E9%B6%AF%E6%AD%8C%E5%8D%80%E4%B8%AD%E6%AD%A3%E4%B8%89%E8%B7%AF191%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
54	鶯歌二甲	02-86775992	新北市鶯歌區二橋里國中街146號1樓	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E9%B6%AF%E6%AD%8C%E5%8D%80%E4%BA%8C%E6%A9%8B%E9%87%8C%E5%9C%8B%E4%B8%AD%E8%A1%97146%E8%99%9F1%E6%A8%93&hl=zh-TW&ie=UTF8&iwloc=A
55	蘆洲活力復興	02-22855208	新北市蘆洲區復興路146號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E8%98%86%E6%B4%B2%E5%8D%80%E5%BE%A9%E8%88%88%E8%B7%AF146%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
56	蘆洲長安	02-82863019	新北市蘆洲區長安街361巷39號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E8%98%86%E6%B4%B2%E5%8D%80%E9%95%B7%E5%AE%89%E8%A1%97361%E5%B7%B739%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
57	樹林三俊	02-26761590	新北市樹林區三俊街98號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%A8%B9%E6%9E%97%E5%8D%80%E4%B8%89%E4%BF%8A%E8%A1%9798%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
58	瑞芳傑魚	02-24061903	新北市瑞芳區傑魚坑路50號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E7%91%9E%E8%8A%B3%E5%8D%80%E5%82%91%E9%AD%9A%E5%9D%91%E8%B7%AF50%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
59	新莊銘德	02-89912750	新北市新莊區銘德街47號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E9%8A%98%E5%BE%B7%E8%A1%9747%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
60	新莊活力萬安	02-22081676	新北市新莊區萬安街11號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E8%90%AC%E5%AE%89%E8%A1%9711%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
61	新莊活力建福	02-22047723	新北市新莊區建福路65號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E5%BB%BA%E7%A6%8F%E8%B7%AF65%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
62	新莊建中	02-89923719	新北市新莊區建中街56號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E5%BB%BA%E4%B8%AD%E8%A1%9756%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
63	新莊活力四維	02-22010056	新北市新莊區四維路221號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E5%9B%9B%E7%B6%AD%E8%B7%AF221%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
64	新莊化成	02-85215628	新北市新莊區化成路932號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E5%8C%96%E6%88%90%E8%B7%AF932%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
65	五股五工	02-22980872	新北市新莊區五股工業區五工二路78巷2號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E4%BA%94%E8%82%A1%E5%B7%A5%E6%A5%AD%E5%8D%80%E4%BA%94%E5%B7%A5%E4%BA%8C%E8%B7%AF78%E5%B7%B72%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
66	新莊活力中榮	02-29932393	新北市新莊區中榮街70號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E4%B8%AD%E6%A6%AE%E8%A1%9770%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
67	新莊活力中正	02-89910262	新北市新莊區中正路147-3號1F	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E8%8E%8A%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF147-3%E8%99%9F1F&hl=zh-TW&ie=UTF8&iwloc=A
68	新店寶橋	02-29112651	新北市新店區寶橋路37號1樓	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E5%AF%B6%E6%A9%8B%E8%B7%AF37%E8%99%9F1%E6%A8%93&hl=zh-TW&ie=UTF8&iwloc=A
69	新店竹林	02-22179280	新北市新店區竹林路30巷2號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E7%AB%B9%E6%9E%97%E8%B7%AF30%E5%B7%B72%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
70	新店北宜	02-22172592	新北市新店區北宜路2段320號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E5%8C%97%E5%AE%9C%E8%B7%AF2%E6%AE%B5320%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
71	新店活力中興2	02-29113560	新北市新店區中興路一段187號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%96%B0%E5%BA%97%E5%8D%80%E4%B8%AD%E8%88%88%E8%B7%AF%E4%B8%80%E6%AE%B5187%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
72	深坑埔新	02-26642899	新北市深坑區埔新街45號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B7%B1%E5%9D%91%E5%8D%80%E5%9F%94%E6%96%B0%E8%A1%9745%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
73	淡水關渡	02-88091158	新北市淡水區自強路98號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B7%A1%E6%B0%B4%E5%8D%80%E8%87%AA%E5%BC%B7%E8%B7%AF98%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
74	淡水中正	02-28058659	新北市淡水區中正路一段7號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B7%A1%E6%B0%B4%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF%E4%B8%80%E6%AE%B57%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
75	泰山楓江	02-29000058	新北市泰山區楓江路40號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B3%B0%E5%B1%B1%E5%8D%80%E6%A5%93%E6%B1%9F%E8%B7%AF40%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
76	泰山憲訓	02-22966846	新北市泰山區泰林路2段328號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B3%B0%E5%B1%B1%E5%8D%80%E6%B3%B0%E6%9E%97%E8%B7%AF2%E6%AE%B5328%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
77	泰山明志	02-29096634	新北市泰山區明志路一段261號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B3%B0%E5%B1%B1%E5%8D%80%E6%98%8E%E5%BF%97%E8%B7%AF%E4%B8%80%E6%AE%B5261%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
78	泰山明志3店	02-29005440	新北市泰山區明志路2段29號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%B3%B0%E5%B1%B1%E5%8D%80%E6%98%8E%E5%BF%97%E8%B7%AF2%E6%AE%B529%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
79	金山中山	02-24081853	新北市金山區中正路82號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E9%87%91%E5%B1%B1%E5%8D%80%E4%B8%AD%E6%AD%A3%E8%B7%AF82%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
80	林口文化	02-26020630	新北市林口區文化一路2段54號1樓	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%9E%97%E5%8F%A3%E5%8D%80%E6%96%87%E5%8C%96%E4%B8%80%E8%B7%AF2%E6%AE%B554%E8%99%9F1%E6%A8%93&hl=zh-TW&ie=UTF8&iwloc=A
81	林口中山2	02-26031658	新北市林口區中山路581號1F	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%9E%97%E5%8F%A3%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF581%E8%99%9F1F&hl=zh-TW&ie=UTF8&iwloc=A
82	林口中山	02-26023132	新北市林口區中山路260號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%9E%97%E5%8F%A3%E5%8D%80%E4%B8%AD%E5%B1%B1%E8%B7%AF260%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
83	板橋活力懷德	02-22561900	新北市板橋區懷德街166號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E6%87%B7%E5%BE%B7%E8%A1%97166%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
84	板橋僑中	02-29605279	新北市板橋區僑中一街102巷1弄14號	http://maps.google.com/maps?q=%E6%96%B0%E5%8C%97%E5%B8%82%E6%9D%BF%E6%A9%8B%E5%8D%80%E5%83%91%E4%B8%AD%E4%B8%80%E8%A1%97102%E5%B7%B71%E5%BC%8414%E8%99%9F&hl=zh-TW&ie=UTF8&iwloc=A
